guid,Retrofit_Cost
a84b344f-290e-45f1-b84b-9f72d70e4be3,339437.7
413b22f0-6be6-438c-abdf-02ff58bec2c1,154043.82
23b40d81-c670-4e87-bc8e-1421d46b4af1,319226.81
18b97976-17e8-4ede-a499-e14226226de4,259483.77
1339c8fe-5864-47f2-8705-7a80e414fefd,311647.95
9652ee62-7a28-4bbf-86a0-033479ac1571,318236.94
0a652d22-45af-479b-8025-b3175a26f45c,41048.28
691a2bb3-b077-4a39-8591-3c31a13099dd,254521.89
15e93b84-6ce1-4398-ab0c-eacda5d62b32,210767.13
399c180b-6bdf-4de9-8357-1e3dbe0fe4f9,203888.16
398cbc67-cad1-47a5-9e23-cfd9b1fb85fa,196670.88
4a8af40e-8c15-4700-a2c2-1fd51693fd44,134982.11
3fbe9c09-156d-4aa5-aa63-d21b337db206,47363.4
2c1cc765-166b-40d7-a542-a35ab649b836,208026.64
a7760790-bff7-40b8-8542-0087589f9aa1,90162.3
9bf2c4da-03e3-4a05-aef6-cf66d867a2ea,263881.8
86478b9c-9f35-4fdf-876b-59af67c9f6c3,40935.51
bbffb2fe-5f7b-4ad4-98a4-3232a89d94d5,331994.88
80c077f1-b070-433e-96e0-7eb6771f20b1,147728.7
6ab32cd8-8671-4a3f-9989-b52422f4c878,448198.1
8a0e29e7-7df4-492a-bc5c-ee4a90e37c8f,62925.66
0f74edfc-97b3-4baa-9361-ae1156351ff4,205128.63
3d0a8c00-19de-4673-a2db-ff8f70266929,129885.98
aaa6154d-3e7d-4274-b416-62f8a9ecd197,153367.2
21ea75ed-c9ec-4193-a852-52893e28f7fb,188889.75
1ecc3e3c-f506-4b7e-91f4-9efb120fa51e,50295.42
0c360604-3f35-4c70-8eb4-bf669cfcec76,283954.86
81064572-526f-4bb9-873b-9daf226f8c53,214298.8
3b1f8156-465e-40f2-ab5f-da198c091816,175359.14
93cc54c0-3132-49e0-bff9-2ae897940504,279503.13
f02fd3d5-2956-4c8d-90bb-b0584b358370,212730.76
924a450b-0610-44fa-9bf2-eedbefe3b237,76796.37
a11a7151-e81f-4293-80a1-6db3b4883539,45108.0
d128fafd-1ede-4c6f-8e38-269df8470f71,91343.7
c4e3f90a-24b5-4c7a-ad46-25391570d221,268843.68
09f2faaf-93db-4542-8898-97061c317074,362217.24
524093ef-7304-4c39-8f97-0bb1acfb180d,335168.55
3fa1bbb0-a1f3-4522-9445-ec9506b61b33,232853.94
bd19225a-dab1-4c19-8e3e-4d87163ce57e,226329.39
1fc4842a-6547-4795-b6dd-d492be789053,276105.71
2187273e-486d-4915-90d5-a4703c00c5eb,193391.6
3c308702-364f-4c4c-a70d-436f78e5f19f,138707.1
837b8e98-de8a-4fe1-96a0-5a8d728b9f0e,59977.53
6adde5b6-6480-4976-a8cc-e2e6187b22bb,180847.28
9bc1f43d-537e-4955-bb9c-acc346670322,105439.95
760960d6-5352-4842-be23-604df14b1702,140624.19
0eebc4ae-58d0-46af-9426-177beaa386b1,65335.0
1807fea3-4f16-4b5e-85be-f8539ecb987f,290348.74
7bbc6029-c86f-4544-bec9-dd511053a2b2,323649.9
d9e67a26-60bc-414b-bfa3-8db9cae02f97,120212.82
0ca110b5-7f52-4f96-85d6-1cf4d8f08077,169478.99
7a559760-d55c-437f-bbf8-2151063072b2,49654.6
3ea45b50-9ebf-4e8c-baf2-11c1b3a3ecb9,110514.6
cb962ec9-fc27-4123-9ab8-d56ef6489cb7,146601.0
74d6d40f-9142-4899-8244-6e4e9514c9d6,87960.6
08122a96-71f4-4976-94d3-30d5d73d8f27,68902.47
9b4b97fe-b810-4e52-a7a2-68d296bbe74e,332163.14
520d5452-f11e-4fb2-9f5e-1833c48e3929,99178.53
998887f4-17dc-4a7e-a406-8fe67f51597e,198926.28
32bc1c5e-4cff-4660-9e41-e3f7ba2555f5,166561.29
efe390cd-1586-4e46-9df7-b90dc8395023,105552.72
541fec77-8873-4537-88d6-381705724d35,286886.88
8122f309-cbd7-4b5d-9ac9-48be442bc637,204113.7
811aabbd-0c70-47b3-9fd1-c952375b782a,26003.33
74bacf95-3648-49dd-99a0-7db01a7b69a5,164305.89
a7834246-bfa0-4fc2-9ad9-35ef9302f9c2,169740.33
85a47b58-bf82-4d28-a375-bcabf0598d57,87622.29
15abed4d-d37e-453d-9636-a6b5a1f39f73,310343.04
518b088a-7ee3-4a03-b34d-d07950a38996,189079.49
8a660654-5dd9-40e0-9de4-de118de35606,361694.56
bc966e06-0208-4aa5-aa16-4258afc63d50,182023.31
7869c959-2ef7-4fda-8e98-98aa07b3aef0,42337.08
c8e8c99a-9cdf-4462-a8ad-8c42441a419b,289818.9
dd76a833-144d-4993-8909-a4ed624dc62b,159231.24
2d630c39-64a8-46ef-b15c-3657423575ca,159907.86
60241fc1-fccb-4db2-adb5-b8bc29f30169,191596.23
8606d84e-625f-4acc-b5e3-cb8193cb3958,114123.24
fc32ad12-07a5-45fc-b3d1-a397f5c11c66,89652.15
9392f61c-94f2-44e0-b0ad-6251647e56da,616501.06
637ac864-b672-4501-8dd1-79f9a30d588a,53001.9
8845a356-17e0-4951-b65d-ccec50c0f66b,213473.61
0e0953c8-e5a7-4b58-9506-e34db66a0e4f,194044.95
9269c341-56c5-4e51-97e4-c03a5bbf907c,188438.67
d330e67a-8ee2-4b5d-aebe-5db3e44ed016,35297.01
280ee8f1-f91e-43a6-9555-dec39fce99f1,335941.83
6976f0a5-ca13-4a54-a877-087f5a41e33e,201858.3
a8e4e2a5-7cd2-4822-b278-ccde49297a47,76796.37
e222f539-5c98-4249-add3-f266f9fbaaf4,127011.24
b0c61e67-d4db-458f-8b08-330335dc971c,262303.02
2874ac34-759f-4cc3-b80e-3d6e5f1e2ea7,133970.76
5dffabff-a150-40aa-8f68-5c1d41e6d846,49262.59
f76e4d98-9943-4d41-8cdf-c71e2f6e0664,260611.47
e8746dc3-d867-47f2-a275-8d700b0d5e6c,105214.41
37caa6ff-57fd-485e-b215-15254f189988,147390.39
e5180ac1-a83c-4cbb-892e-40a8716f6b04,66308.76
5ba30b5a-cb59-4cdb-a035-6e85c767b9e3,204339.24
e56cc6c8-fc87-41a1-9736-041e6cfa3959,217195.02
d3087692-d48e-49c4-97ae-8e75e8e47271,88524.45
ce5e62a3-8a56-4d48-8bef-04a323528efb,135243.45
a7813b4e-9c73-476c-8466-bdb768f3ae71,210879.9
792cddba-36dc-4650-8f66-950955fbae54,40246.36
1d96f633-ab91-4026-a713-03d5dcc59b5a,119987.28
e96070fb-efff-4797-80d2-cd508388e44d,144007.29
d7ce0250-0bb2-4eda-a988-88c8cd70923e,183815.1
7683ad2f-a673-4976-ba7a-b4c9b9250dfc,23907.24
8b143a9c-cd90-4270-8f5d-53f69d90c101,45865.17
ce966d9d-3b18-4b51-a9d3-13d7be64bb1a,188438.67
600c0b0e-d5c3-43d7-bf6f-a4a4209a3bfc,296620.9
ef228775-ed69-424b-873c-36b49129f1e6,286435.8
b90ae338-8a28-4b8f-83b9-002dc847a0e9,282247.2
27bc69aa-4576-4e27-8a62-1db564057cbd,156975.84
781806f0-95fb-4b2b-8906-b9f547885e04,62136.27
7ab0e481-20c4-4514-8379-1d95de5ffe80,24809.4
7d514141-c5c9-4e06-86da-0356fb691e22,37214.1
9866c429-8641-4560-ab61-5d98e06da3b9,296585.1
ba11c42c-52aa-418b-b7c0-b0ba31b70ca7,247358.31
2fd5c9b6-8efe-46b5-9441-b02acfa55903,73074.96
dbce9043-fddb-47d3-a7d0-779ecb560072,165095.28
f0be2126-d401-43f1-b0c5-a24aeb75bb83,28530.81
2dfc566e-e395-4aad-8c06-941bdbf9c6b7,81758.25
39ea9eff-9bf3-4cb4-9acd-255329d9733f,66985.38
dc71c4b4-2874-419c-8bdc-f02dd3f53672,237493.62
3a1d328f-bb88-4afc-b74b-62f0a1630946,165689.56
9497e276-4eaa-40bd-beb1-e941bd2e27b8,195204.87
2a4a285d-aa0b-485b-ace6-654caec61016,211105.44
7e2768c7-8651-4ad5-96fc-0d5f80967108,54918.99
7c491dd9-7d45-4796-b5fe-72ca7410cd2b,161824.95
60bea3f3-3196-420b-aef0-a4bf615177fe,45784.62
4e8c6bc1-1e7c-40ad-8c5a-4b99a816b246,136564.47
26eb82cf-acdb-44da-abf5-984be5cc4271,220690.89
9f56f90a-b918-4456-a30a-01aa3043b60a,39331.67
08de84e3-7760-4c58-b0c9-3e9518772085,292863.69
960907ee-cfbd-4331-87a0-70a8162eda29,300983.13
abf673d6-ce5f-4254-af9c-33a9d94f2ad6,154607.67
6d358580-b1ad-48bd-9001-20d1b7d3f0f3,157426.92
99360b42-90c3-4c16-be31-0aa49695b80e,39243.96
669b6d81-7824-4ff4-9546-909c3ed1a285,106793.19
38902535-c6cb-4167-a8d6-6d09b5fa58b3,206707.41
0336a0e5-a092-4bcd-a223-9c4bcb9e5138,30576.78
86dea394-160e-4f88-8e10-ee80eefaf436,359172.45
d2ed41ef-da59-471c-9f4e-1089c2a75485,224186.76
16fafe03-6bbc-4767-bd8a-19eab6b0ad7a,132279.21
5def31d3-14b1-452c-8924-79ec9640aa46,134309.07
e88d352e-3276-44d4-9f95-e5993d65392f,44205.84
f819996d-6b37-41e2-a854-02cff8546d4c,212120.37
a412bfa7-e37b-4ea5-9597-8829cb2b9fd1,99801.45
5cb132fd-513a-4100-bf76-404e47d38b95,236253.15
f3a04f29-9ef3-4380-93df-5fe4fb7db896,92584.17
d9dbdf99-82bc-471c-87c1-7eafd2fe8b74,24358.32
bd5d6d0b-aa4f-40e2-a9ab-6dbd89caf171,184717.26
a62f4a98-84b2-4e53-ab71-07262a60807d,302370.38
96fef6e3-31f7-40bd-9dfc-53e6ba2db0d1,115904.29
2679ed9f-668b-4990-8a85-eedea1161770,123483.15
db81c93f-fe74-4035-bc0a-0fc8cc6faf6a,245274.75
f5839701-1d63-4ec5-8595-842cdd670be3,238846.86
2d3f5703-2da3-4199-bb50-7d7b6c1cdda1,295119.09
31a5d213-6904-4a53-8f06-3a14036b9cc8,137464.84
c1f9556a-0211-4b5f-a910-28e7c32cef02,183589.56
0a8244f4-c5c2-4340-9e5c-3fc9c5b9b0df,48829.41
6ac02388-f64a-466e-811c-f575bf3d1408,112318.92
83b5367d-4d1a-4d2d-8bf6-452eda7810c9,39356.73
3070e869-35ee-425c-b6de-bbdfe08b1b8b,163742.04
78d226cb-99ec-47ad-a043-24c6bdc870af,39582.27
45948f04-8348-45eb-a36b-3a1b7e594810,206820.18
08272a76-a768-46ed-bed9-d60c058de64a,93599.1
