edu.illinois.ncsa.ergo.eq.socialscience.censusdata,ergo:censusdata
edu.illinois.ncsa.ergo.eq.schemas.censustract.v1.0,ergo:censustract
edu.illinois.ncsa.ergo.eq.socialscience.schemas.contentsDamageRatios.v1.0,ergo:contentsDamageRatios
edu.illinois.ncsa.ergo.eq.schemas.county.v1.0,ergo:county
edu.illinois.ncsa.ergo.eq.schemas.cpiTable.v1.0,ergo:cpiTable
edu.illinois.ncsa.ergo.eq.hazard.schemas.deepsoilLongPeriodSiteFactors.v1.0,ergo:deepsoilLongPeriodSiteFactors
edu.illinois.ncsa.ergo.eq.hazard.schemas.deepsoilShortPeriodSiteFactors.v1.0,ergo:deepsoilShortPeriodSiteFactors
edu.illinois.ncsa.ergo.eq.schemas.defaultSeismicSources.v1.0,ergo:defaultSeismicSources
edu.illinois.ncsa.ergo.gis.schemas.defaultset,ergo:defaultset
edu.illinois.ncsa.ergo.eq.nbsr.schemas.demandProfileTable.v1.0,ergo:demandProfileTable
edu.illinois.ncsa.ergo.eq.schemas.demRaster.v1.0,ergo:demRaster
edu.illinois.ncsa.ergo.eq.hazard.schemas.demSlopePolygon.v1.0,ergo:demSlopePolygon
edu.illinois.ncsa.ergo.gis.schemas.demSlopeRaster.v1.0,ergo:demSlopeRaster
edu.illinois.ncsa.ergo.eq.schemas.deterministicHazardRaster.v1.0,ergo:deterministicHazardRaster
edu.illinois.ncsa.ergo.eq.lifeline.schemas.electricFragilities.v1.0,ergo:electricFragilities
edu.illinois.ncsa.ergo.eq.lifeline.electricPowerPlantFragilityMapping.v1.0,ergo:electricPowerPlantFragilityMapping
edu.illinois.ncsa.ergo.eq.lifeline.schemas.electricSubstationFragilityMapping.v1.0,ergo:electricSubstationFragilityMapping
edu.illinois.ncsa.ergo.eq.lifeline.schemas.electricSubstationInventory.v1.0,ergo:electricSubstationInventory
edu.illinois.ncsa.ergo.eq.schemas.embaymentPolygon.v1.0,ergo:embaymentPolygon
edu.illinois.ncsa.ergo.eq.schemas.freeway.v1.0,ergo:freeway
edu.illinois.ncsa.ergo.eq.lifeline.schemas.gasFacilityFragilities,ergo:gasFacilityFragilities
edu.illinois.ncsa.ergo.eq.lifeline.schemas.gasFacilityFragilityMapping,ergo:gasFacilityFragilityMapping
edu.illinois.ncsa.ergo.eq.lifeline.schema.gasFacilityInventory,ergo:gasFacilityInventory
edu.illinois.ncsa.ergo.eq.lifeline.schema.gasFacilityTopology.v1.0,ergo:gasFacilityTopology
edu.illinois.ncsa.ergo.eq.lifeline.schema.gasUtilNetwork.v1.0,ergo:gasUtilNetwork
edu.illinois.ncsa.ergo.eq.schemas.geology.v1.0,ergo:geology
edu.illinois.ncsa.ergo.eq.hazard.schemas.hazardEvent.v1.0,ergo:hazardEvent
edu.illinois.ncsa.ergo.eq.schemas.hazardRaster.v1.0,ergo:hazardRaster
edu.illinois.ncsa.ergo.eq.lifeline.hazus.hzElectricPowerFacilityFragilityMapping,ergo:hzElectricPowerFacilityFragilityMapping
edu.illinois.ncsa.ergo.eq.lifeline.hazus.hzElectricPowerTankFragilities,ergo:hzElectricPowerTankFragilities
edu.illinois.ncsa.ergo.eq.lifeline.hazus.hzPipelineFragilities,ergo:hzPipelineFragilities
edu.illinois.ncsa.ergo.eq.lifeline.hazus.hzPipelineFragilityMapping,ergo:hzPipelineFragilityMapping
edu.illinois.ncsa.ergo.eq.lifeline.hazus.hzPotableWaterFacilityFragilityMapping,ergo:hzPotableWaterFacilityFragilityMapping
edu.illinois.ncsa.ergo.eq.lifeline.hazus.hzPotableWaterTankFragilities,ergo:hzPotableWaterTankFragilities
edu.illinois.ncsa.ergo.eq.netinterdep.interdependentMatrixTable,ergo:interdependentMatrixTable
edu.illinois.ncsa.ergo.eq.lifeline.schemas.lifelineElecInventory.v1.0,ergo:lifelineElecInventory
edu.illinois.ncsa.ergo.eq.lifeline.schemas.lifelineWaterInventory.v1.0,ergo:lifelineWaterInventory
edu.illinois.ncsa.ergo.eq.lifeline.schemas.lifelineWaterTankFragilityMapping.v1.0,ergo:lifelineWaterTankFragilityMapping
edu.illinois.ncsa.ergo.eq.schemas.liquefactionSusceptibilityPolygon.v1.0,ergo:liquefactionSusceptibilityPolygon
edu.illinois.ncsa.ergo.eq.hazard.schemas.longPeriodSiteFactors.v1.0,ergo:longPeriodSiteFactors
edu.illinois.ncsa.ergo.eq.lifeline.schema.maevizWaterUtilNetwork.v1.0,ergo:maevizWaterUtilNetwork
edu.illinois.ncsa.ergo.eq.nbsr.schemas.odTableFile.v1.0,ergo:odTableFile
edu.illinois.ncsa.ergo.eq.nbsr.schemas.originDestinationTable.v1.0,ergo:originDestinationTable
edu.illinois.ncsa.ergo.eq.socialscience.schemas.percentBusinessInventoryDamage.v1.0,ergo:percentBusinessInventoryDamage
edu.illinois.ncsa.ergo.eq.lifeline.schemas.pipelineFragilities.v1.0,ergo:pipelineFragilities
edu.illinois.ncsa.ergo.eq.socialscience.schemas.potentialHazards.v1.0,ergo:potentialHazards
edu.illinois.ncsa.ergo.eq.lifeline.schemas.powerFacilityTopo.v1.0,ergo:powerFacilityTopo
edu.illinois.ncsa.ergo.eq.lifeline.schemas.powerLineTopo.v1.0,ergo:powerLineTopo
edu.illinois.ncsa.ergo.eq.lifeline.schema.powerUtilNetwork.v1.0,ergo:powerUtilNetwork
edu.illinois.ncsa.ergo.eq.socialscience.schemas.proprietorsIncomeTable.v1.0,ergo:proprietorsIncomeTable
edu.illinois.ncsa.ergo.eq.nbsr.schemas.roadLinkTopo.v1.0,ergo:roadLinkTopo
edu.illinois.ncsa.ergo.eq.nbsr.schemas.roadNetwork.v1.0,ergo:roadNetwork
edu.illinois.ncsa.ergo.eq.nbsr.schemas.roadNetwork.v2.0,ergo:roadNetworkVer2
edu.illinois.ncsa.ergo.eq.nbsr.schemas.roadNodeTopo.v1.0,ergo:roadNodeTopo
edu.illinois.ncsa.ergo.gis.schemas.Scenarios.v.1.0,ergo:Scenarios
edu.illinois.ncsa.ergo.eq.schemas.shelbyTNHazardLPICoefficients.v1.0,ergo:shelbyTNHazardLPICoefficients
edu.illinois.ncsa.ergo.eq.schemas.shelbyTNHazardLPIMagnitudeScaling.v1.0,ergo:shelbyTNHazardLPIMagnitudeScaling
edu.illinois.ncsa.ergo.eq.hazard.schemas.shortPeriodSiteFactors.v1.0,ergo:shortPeriodSiteFactors
edu.illinois.ncsa.ergo.eq.socialscience.schemas.socialScienceDevelopedArea,ergo:socialScienceDevelopedArea
edu.illinois.ncsa.ergo.eq.socialscience.socialvulnerability,ergo:socialvulnerability
edu.illinois.ncsa.ergo.eq.schemas.soilDepthRaster.v1.0,ergo:soilDepthRaster
edu.illinois.ncsa.ergo.eq.schemas.soilTypes.v1.0,ergo:soilTypes
edu.illinois.ncsa.ergo.eq.schemas.surficialGeology.v1.0,ergo:surficialGeology
edu.illinois.ncsa.ergo.eq.socialscience.schemas.tempHousingBldgPerformanceTable.v1.0,ergo:tempHousingBldgPerformanceTable
edu.illinois.ncsa.ergo.eq.socialscience.schemas.tempHousingBldgTypesTable.v1.0,ergo:tempHousingBldgTypesTable
ncsa.maeviz.socialscience.schemas.tempHousingBldgTypesTable.v1.0,ergo:tempHousingBldgTypesTable
edu.illinois.ncsa.ergo.eq.socialscience.schemas.temporaryHousingAlternatives.v1.0,ergo:temporaryHousingAlternatives
ncsa.maeviz.socialscience.schemas.temporaryHousingAlternatives.v1.0,ergo:temporaryHousingAlternatives
edu.illinois.ncsa.ergo.eq.socialscience.schemas.temporaryHousingEnvironmentalAreas.v1.0,ergo:temporaryHousingEnvironmentalAreas
edu.illinois.ncsa.ergo.eq.hazard.schemas.toroSilvaGeologyPolgyon.v1.0,ergo:toroSilvaGeologyPolgyon
edu.illinois.ncsa.ergo.eq.hazard.schemas.torosilvaLongPeriodSiteFactors.v1.0,ergo:torosilvaLongPeriodSiteFactors
edu.illinois.ncsa.ergo.eq.hazard.schemas.torosilvaShortPeriodSiteFactors.v1.0,ergo:torosilvaShortPeriodSiteFactors
edu.illinois.ncsa.ergo.eq.decisionsupport.schemas.utilityFunctionTable.v1.0,ergo:utilityFunctionTable
edu.illinois.ncsa.ergo.eq.lifeline.schemas.waterFacilityTopo.v1.0,ergo:waterFacilityTopo
edu.illinois.ncsa.ergo.eq.lifeline.schemas.waterTankFragilities.v1.0,ergo:waterTankFragilities
edu.illinois.ncsa.ergo.eq.schemas.zipCodeArea.v1.0,ergo:zipCodeArea
