archetype,retrofit_1,retrofit_2,retrofit_3
1,14.67485431,22.292525,45.447029
2,9.276673676,16.796931,31.809812
3,8.382318721,15.853916,28.823194
4,11.59341597,19.363977,37.651323
5,9.865065683,17.127367,30.742377
