guid,Retrofit_Cost
37630bc2-4344-4e90-bec4-c2946cb363cc,22038.23
c9a9f97f-3c53-4eaf-8691-2a0be7b6ae43,12272.23
c9e7690e-c1c5-4f78-9621-215359382b71,162100.23
c3e3a67e-5a74-4fb2-9d6d-1e5a4e518556,20834.23
48018f7e-d8aa-4513-b564-67bc5e507b02,91534.23
a1725046-e67d-47de-98db-30047df18d2e,82641.23
9070588c-afce-42bc-aef5-c62017e00678,33087.23
5cc991c4-8509-4934-8ef3-5955d4e50102,30557.23
741f0571-e71d-4d2f-a893-bf8acb441a81,18382.23
2207ef06-7f66-457e-a187-5735d27310cf,17476.23
3ccaedf0-976b-499d-a116-58d433d8e56b,19315.23
62ae94f2-0609-419f-a080-be7429157fe5,25435.23
6abfed60-15f8-4ed8-86be-07a786633742,13029.23
4afba370-0ef5-45bd-bf75-592daabcc4b8,14069.23
2886dba2-6058-41c4-b356-0d48956b21fd,20730.23
1b5a162c-3a82-4e00-9035-c5aefb25f399,22265.23
af073558-851e-49b6-b085-7f273f08a147,17756.23
8572917c-eaf9-4023-996d-621db0252321,14334.23
55b79890-82c9-425a-a7d0-f49766bf6f5b,36477.23
8ffd7da7-6177-4def-8a46-2d4d066eef75,17107.23
a4b19361-d886-4c74-acbe-7927eb476133,13689.23
319edffe-dfa0-49fe-958c-6b4afcffc84f,17150.23
0c0517ba-57f9-4b5c-bbee-4ce6740b5cee,25562.23
963483f6-1d38-4c0c-a77b-8ee4658e0e45,34952.23
d3445d70-abc9-4f04-82c9-a09cabc0e2d5,22352.23
db90fb27-e9fc-48ce-8fcf-02e23a0f28d2,98251.23
d5991e2c-2c64-4d99-975b-761a644af79a,26492.23
9e8c5bba-f15d-41a7-9dae-f6682e35ad01,28315.23
a72e7283-5cea-48f9-8a03-ac20e1e6b2db,20732.23
2c887dd2-0f79-4a3f-8ebb-3dba79c06acf,8747.23
2be9e82a-4049-4659-9b88-7015a9271d1d,15938.23
38b3ee10-0408-4a9d-9825-0f3892a21ed8,14914.23
7657efb2-b175-41de-b6e8-0b2febc8798c,23598.23
cf4c73f9-f0f0-4483-89e9-2316d6101b50,24091.23
f8e6c0be-9b93-4b3a-b79b-e879a5de6657,16178.23
bfa8ed01-47e9-4f12-aa3f-0896c2892786,37706.23
f651efe1-b8cc-4e42-b46e-aa370c4b8001,16641.23
c4188af9-abaf-45ac-bef3-786b1f519e5b,24816.23
1af996c0-5a0d-47ba-baea-724a850edcb9,37516.23
a4cf6804-1220-4411-b027-9054b8f9153a,24637.23
e72272a3-d357-4a5a-bf07-6becfc81a2b5,18099.23
b70c7d00-4013-4e13-b84d-0ec5c18014e3,21066.23
64461a05-4411-4e68-a4dd-868c114cdc08,16529.23
22895512-48d8-4668-8985-b1f5fc7f5a51,34986.23
811671aa-184e-4d36-addb-3b156b09cd7b,47012.23
5a6aa8bb-e4ac-4c97-b8cb-88eff269bfb0,23646.23
a32bebd3-28fc-475f-9210-f9d68084ba68,19828.23
3423c101-9a54-472c-bc64-3d022225ccd0,24891.23
e394eadf-8adf-4ca7-acd1-316a5a2c9b75,18025.23
2efff86e-dbd2-49a7-b94b-3bd68348f813,31163.23
